"","date","logap_ts","logas_ts","logoff_ts","loggen_ts","logcomp_ts"
"1",2014-05-01,2.4423470353692,16.6456061055639,14.9920947963813,16.1253039089319,-Inf
"2",2014-08-01,2.4423470353692,16.9278270600035,14.9111511020369,16.1928677239768,10.2464387552551
"3",2014-11-01,2.4932054526027,16.9540864120696,14.4505316801967,16.187473661603,11.1092787026688
"4",2015-02-01,2.50225528812261,18.1142986169476,16.0109813761413,16.4810046924675,11.5782636662784
"5",2015-05-01,2.50878592357794,18.1584276243081,14.5390952807742,16.5993239225397,11.5866776595569
"6",2015-08-01,2.52732736567195,18.1118344136061,14.9352902285018,16.7842913308101,13.5472938010235
"7",2015-11-01,2.54396141256932,18.13450431079,16.2523295592609,16.607551662348,13.9456103192715
"8",2016-02-01,2.54396141256932,18.0354005430033,15.1875158143497,16.8124505019906,13.9456103192715
"9",2016-05-01,2.54396141256932,15.797890386801,14.1303665522548,16.8930645865175,13.9586944648218
"10",2016-08-01,2.54396141256932,17.2174076947407,15.7769572446806,17.1345807609519,14.0776832656244
"11",2016-11-01,2.54396141256932,18.1587963643217,15.1990050029748,16.747656390342,15.8653932599026
"12",2017-02-01,2.60786147384678,16.2727890406348,15.2403338064427,16.8476412966427,15.8653932599026
"13",2017-05-01,2.62466859216316,18.1371495114991,15.8561925601339,17.1872702720478,15.8663970060185
"14",2017-08-01,2.69124308278583,17.9726394943323,15.5684987063805,17.2441729656871,15.9717016600864
"15",2017-11-01,2.71204222237175,18.1918747663186,16.6881823131657,17.4719879648939,15.9202612294657
"16",2018-02-01,2.68170622576261,18.4026788783112,15.6380510595525,17.8005278584951,15.939064315445
"17",2018-05-01,2.68444033546308,18.3218294196903,16.7985598413503,17.8125190446404,16.4774936440312
"18",2018-08-01,2.71137799119488,18.1902767115184,15.360767858537,17.8024590341602,16.7649836342483
"19",2018-11-01,2.72850620966959,18.182749859453,17.0037610997023,17.4110637929218,15.2271429331143
"20",2019-02-01,2.75556971707019,18.2080740346284,15.4219048432609,17.6273060070854,15.3157242781234
"21",2019-05-01,2.85933964864844,18.0100189866217,15.9889406109748,17.69142985772,15.32199483366
"22",2019-08-01,2.84258109405982,18.0095422978535,15.7277408549047,17.7917897196688,15.4353333602824
"23",2019-11-01,2.83321334405622,18.0266845309166,15.1490550380734,17.8099560341054,14.8174999722881
"24",2020-02-01,2.88312332917134,17.8601408766871,15.559095723342,17.8653364402251,15.0253618500743
"25",2020-05-01,2.8142103969306,16.8676704228169,16.5230110746844,18.0454760656739,15.1033499496082
"26",2020-08-01,2.8142103969306,17.7787398539953,15.3904272095012,18.1065569911827,15.163819522613
"27",2020-11-01,2.82908719614504,17.847384361975,16.5718537202859,18.2789780340056,14.8768577134189
"28",2021-02-01,2.87919845729804,17.8187190118125,16.2842039808441,18.307903682473,15.8087991268474
"29",2021-05-01,2.9338568698359,18.0872637672676,14.7344657370443,18.2946308946571,16.0782676414379
"30",2021-08-01,3.14845336057165,18.0818672727792,15.1943648099865,18.2941455975653,16.3954847065968
"31",2021-11-01,3.34144737725638,18.0437771011047,15.6437689306055,17.4963598565079,13.5302668436329
"32",2022-02-01,3.3724549127965,17.88501065315,14.3303112705855,17.5924147171441,13.7949486024514
"33",2022-05-01,3.4291367503514,17.8816493854693,15.392018377738,17.610705231861,13.7972569702865
"34",2022-08-01,3.29583686600433,17.857791090262,13.9695449453155,17.6319157882855,14.2989263408164
"35",2022-11-01,3.28840188751681,17.8763130556116,15.1637875815839,17.6543151769784,13.775999162567
